sentence,word_labels
Mount Everest is the highest peak in the world,"B-Mountain,I-Mountain,O,O,O,O,O,O,O"
K2 is the second highest mountain,"B-Mountain,O,O,I-Mountain,O,O"
The Andes are the longest mountain range,"O,B-Mountain,O,O,O,O,O"
Denali is the highest peak in North America,"B-Mountain,O,O,I-Mountain,O,O,O,O"
Kangchenjunga is the third highest mountain,"B-Mountain,O,O,I-Mountain,O,O"
The Rockies are a major mountain range,"O,B-Mountain,O,O,O,O,O"
Kilimanjaro is the highest mountain in Africa,"B-Mountain,O,O,I-Mountain,O,O,O"
The Himalayas are a majestic mountain range,"O,B-Mountain,O,O,O,O,O"
Mount Fuji is an iconic volcanic mountain,"B-Mountain,I-Mountain,O,O,O,O,O"
Matterhorn is a famous pyramidal mountain,"B-Mountain,O,O,O,O,O"
The Alps are a famous mountain range,"O,B-Mountain,O,O,O,O,O"
Elbrus is the highest mountain in Europe,"B-Mountain,O,O,I-Mountain,O,O,O"
Annapurna is one of the highest peaks in the Himalayas,"B-Mountain,O,O,O,O,I-Mountain,O,O,O,B-Mountain"
The Andes are known for their dramatic scenery,"O,B-Mountain,O,O,O,O,O,O"
Mount Rainier is an iconic mountain in the Pacific Northwest,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
Mont Blanc is the highest mountain in the Alps,"O,I-Mountain,O,O,I-Mountain,O,O,O,B-Mountain"
The Himalayas are home to many of the world's highest peaks,"O,B-Mountain,O,O,O,O,O,O,O,I-Mountain,O"
Mount Kosciuszko is the highest mountain in Australia,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
Mauna Kea is the highest peak in Hawaii,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Sierra Nevada is a mountain range in the western United States,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O"
Kangaroo Island features a unique rock formation known as the Remarkable Rocks,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,B-Mountain,I-Mountain"
Mount Elgon is a volcanic mountain on the border between Uganda and Kenya,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O,O"
The Great Dividing Range is a major mountain range in Australia,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
Denali National Park is home to the tallest mountain in North America,"B-Mountain,I-Mountain,O,O,O,O,O,I-Mountain,O,O,O,O"
Mount Logan is the highest mountain in Canada,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Cascades are a volcanic mountain range in the Pacific Northwest,"O,B-Mountain,O,O,O,O,O,O,O,O,O"
Aconcagua is the tallest mountain in South America,"B-Mountain,O,O,I-Mountain,O,O,O,O"
Mont Saint Helens is a volcanic mountain in the Cascades,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,B-Mountain"
Mount Hood is a stratovolcano in the Cascades,"B-Mountain,I-Mountain,O,O,O,O,O,B-Mountain"
The Rocky Mountains extend over multiple states in North America,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mount Aoraki is the highest mountain in New Zealand,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O"
The Uinta Mountains are a major mountain range in the western United States,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O"
K2 is part of the Karakoram Range,"B-Mountain,O,O,O,O,B-Mountain,I-Mountain"
Mauna Loa is the largest shield volcano on Earth,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O"
The Sierras are a mountain range in the western United States,"O,B-Mountain,O,O,O,O,O,O,O,O,O"
Mount Mckinley is the highest mountain in North America,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O"
The Great Smoky Mountains are a mountain range along the East Coast,"O,B-Mountain,I-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
Mount Stromboli is an active volcano located in the Tyrrhenian Sea,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O"
Kangaroo Point is a land formation in Western Australia,"B-Mountain,I-Mountain,O,O,O,O,O,O,O"
The Sierra Madre are a mountain range in Mexico,"O,B-Mountain,I-Mountain,O,O,O,O,O,O"
Mount Elgon is an extinct stratovolcano on the Eastern Equatorial Africa,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O"
The Tatra Mountains form a natural border between Slovakia and Poland,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
Mount Vinson is the highest mountain in Antarctica,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Huangshan Mountains are famous for their unique granite peaks,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
K2 is situated on the border between Pakistan and China,"B-Mountain,O,O,O,O,O,O,O,O,O"
Mount Meru is a volcanic mountain in Tanzania,"B-Mountain,I-Mountain,O,O,O,O,O,O"
The Pyrenees form a natural border between Spain and France,"O,B-Mountain,O,O,O,O,O,O,O,O"
Mount Kailash is a sacred mountain in Tibet,"B-Mountain,I-Mountain,O,O,O,O,O,O"
Mt. McKinley is also known as Denali,"B-Mountain,I-Mountain,O,O,O,O,B-Mountain"
The Adirondacks are a mountain range in the state of New York,"O,B-Mountain,O,O,O,O,O,O,O,O,O,O"
Mount Olympus is the highest mountain in Greece,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Sierra Nevada extends over several states in the western United States,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O"
Mount Elbrus is situated in the Caucasus Range,"B-Mountain,I-Mountain,O,O,O,O,B-Mountain,I-Mountain"
The Himalayas are home to numerous world class peaks,"O,B-Mountain,O,O,O,O,O,O,O"
Mont Blanc is a beautiful destination for alpinists,"B-Mountain,I-Mountain,O,O,O,O,O,O"
K2 has been conquered by many adventurers,"B-Mountain,O,O,O,O,O,O"
The Great Dividing Range offers stunning scenery,"O,B-Mountain,I-Mountain,O,O,O,O"
Mount Fuji is an active stratovolcano in Japan,"B-Mountain,I-Mountain,O,O,O,O,O,O"
The Swiss Alps are famous for their ski resorts,"O,B-Mountain,I-Mountain,O,O,O,O,O,O"
Mount Everest attracts climbers from around the globe,"B-Mountain,I-Mountain,O,O,O,O,O,O"
Kangchenjunga is located on the border between Nepal and India,"B-Mountain,O,O,O,O,O,O,O,O,O"
The Appalachian Mountains are one of the oldest mountain ranges in the world,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O"
The Dolomites are a mountain range in northern Italy,"O,B-Mountain,O,O,O,O,O,O,O"
Mount Kenya is an ancient volcanic mountain in East Africa,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
The Great Basin is a large mountain range in Nevada,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mt. Whitney is the highest peak in the contiguous United States,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O,O,O"
Mount Saint Helens is a volcanic mountain in the Cascades,"B-Mountain,I-Mountain,I-Mountain,O,O,O,O,O,O,B-Mountain"
The Tian Shan Mountain Range is one of the longest continuous chain of mountains,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O,O"
Mt. Etna is an active stratovolcano located in Sicily,"B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mount Sinai is a sacred mountain in Egypt,"B-Mountain,I-Mountain,O,O,O,O,O,O"
The Alaskan Range is a large mountain range in the state of Alaska,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O"
Mount Huascaran is the highest mountain in Peru,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Sierras Madres are a mountain range in Oregon,"O,B-Mountain,I-Mountain,O,O,O,O,O,O"
Mount Washington is an iconic mountain in the Cascades,"B-Mountain,I-Mountain,O,O,O,O,O,O,B-Mountain"
Mount Rushmore is a granite mountain sculpture in South Dakota,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
Mount Matterhorn is a pyramidal mountain on the border between Switzerland and Italy,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O,O"
The Pacific Mountain Range extends from British Columbia to California,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mt. St. Helens is a volcanic mountain in the Cascades,"B-Mountain,I-Mountain,I-Mountain,O,O,O,O,O,O,B-Mountain"
The Catskill Mountains are a mountain range in the state of New York,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O"
Mount Kerinci is the highest mountain in Sumatra,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Green Mountains are a mountain range in the eastern United States,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O"
Mt. Everest is the highest mountain on the planet,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O"
The Tien Shan Mountains stretch across Central Asia,"O,B-Mountain,I-Mountain,O,O,O,O,O"
Kangaroo Island features a rock formation known as the Painted Cliffs,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,B-Mountain,I-Mountain"
Mount Roraima is a table mountain located on the border between Venezuela Brazil and Guyana,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Hindu Kush mountains are a mountain range in Asia,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mount Seorak is a mountain in South Korea,"B-Mountain,I-Mountain,O,O,O,O,O,O"
The Cordillera Blanca is a mountain range in Peru,"O,B-Mountain,I-Mountain,O,O,O,O,O,O"
Mount Mitchell is the highest peak east of the Mississippi,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O,O,O"
K2 is known as Savage Mountain,"B-Mountain,O,O,O,B-Mountain,I-Mountain"
Mt. Katahdin is the highest peak in Maine,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
Mount Korab is the highest mountain in Albania,"B-Mountain,I-Mountain,O,O,I-Mountain,O,O,O"
The Selkirk Mountains are a mountain range in British Columbia,"O,B-Mountain,I-Mountain,O,O,O,O,O,O,O"
Mount Karakoram is a mountain range between Pakistan and India,"B-Mountain,I-Mountain,O,O,O,O,O,O,O,O"
The Cascades are a mountain range in the Pacific Northwest,"O,B-Mountain,O,O,O,O,O,O,O,O"
